Identifier Name,FINAL GRAMMAR PATTERN,POSSE,SWUM,STANFORD,system,language
fingerprint Dialog,NM N,N N,NM N,N N,{'Telegram.srcml.xml_identifiers'},Java
GEN SUBJ,NM N,N N,NM N,N N,{'corenlp.srcml.xml_identifiers'},Java
GET SOURCE NAME,NM NM N,N N N,NM NM N,V N N,{'elasticsearch.srcml.xml_identifiers'},Java
ID LUMNINANCE MIN,NM NM N,N N N,NM NM N,N N N,{'Telegram.srcml.xml_identifiers'},Java
idle Delay,NM N,NM N,NM N,V N,{'jenkins.srcml.xml_identifiers'},Java
in Order Wrapped Verification Mode,P N NM NM N,P N NM N N,NM NM NM NM N,P N N N N,{'mockito.srcml.xml_identifiers'},Java
INDEX PREFIX WITH TEMPLATE,NM N P N,V N P N,NM NM NM N,N N P N,{'elasticsearch.srcml.xml_identifiers'},Java
inet Socket Address,NM NM N,N N N,NM NM N,V N N,{'okhttp.srcml.xml_identifiers'},Java
INITIALIZATION ERROR,NM N,N N,NM N,N N,{'mockito.srcml.xml_identifiers'},Java
inner Alpha,NM N,NM N,NM N,NM N,{'Telegram.srcml.xml_identifiers'},Java
INVALID,NM,N,N,NM,{'antlr4.srcml.xml_identifiers'},Java
INVALID HOST,NM N,NM N,NM N,NM N,{'okhttp.srcml.xml_identifiers'},Java
INVALID STATE NUMBER,NM NM N,NM N N,NM NM N,NM N N,{'antlr4.srcml.xml_identifiers'},Java
IS FIRST CAPITAL,V NM N,N NM N,NM NM N,V N N,{'corenlp.srcml.xml_identifiers'},Java
is First Frame,V NM N,V NM N,NM NM N,V N N,{'okhttp.srcml.xml_identifiers'},Java
KEY PASSWORD PROFILES,NM NM NPL,NM N N,NM NM N,NM N NPL,{'elasticsearch.srcml.xml_identifiers'},Java
label Regex,NM N,N N,NM N,V N,{'corenlp.srcml.xml_identifiers'},Java
language To Rules Files,N P NM NPL,POSSEFAILURE,NM NM NM N,N P NPL NPL,{'corenlp.srcml.xml_identifiers'},Java
LATENCY ARG,NM N,N N,NM N,N N,{'elasticsearch.srcml.xml_identifiers'},Java
LOGGER,N,N,N,V VM,{'jenkins.srcml.xml_identifiers'},Java
m count Activities,PRE NM NPL,NM N N,NM NM N,N N NPL,{'openFrameworks.srcml.xml_identifiers'},Java
m FBO Height,PRE NM N,NM N N,NM NM N,N N N,{'opencv.srcml.xml_identifiers'},Java
m is Worker Done,PRE V N NM,NM N N NM,NM NM NM N,N V N N,{'openFrameworks.srcml.xml_identifiers'},Java
m Preview Started,PRE N NM,NM N V,NM NM N,N N NM,{'opencv.srcml.xml_identifiers'},Java
m Resources,PRE NPL,NM N,NM N,N N,{'opencv.srcml.xml_identifiers'},Java
MANIFEST FILE PREFIX,NM NM N,NM N N,NM NM N,N N N,{'elasticsearch.srcml.xml_identifiers'},Java
matcher Builder,NM N,N N,NM N,V N,{'junit4.srcml.xml_identifiers'},Java
min Font Size,NM NM N,N N N,NM NM N,N N N,{'corenlp.srcml.xml_identifiers'},Java
mock Ref,NM N,NM N,NM N,NM N,{'mockito.srcml.xml_identifiers'},Java
module Finder,NM N,N N,NM N,N N,{'jenkins.srcml.xml_identifiers'},Java
MORE,DT,N,DT,NM,{'antlr4.srcml.xml_identifiers'},Java
move RBT surgeon,NM NM N,N N N,NM NM N,V N N,{'corenlp.srcml.xml_identifiers'},Java
name Container,NM N,N N,NM N,N N,{'Telegram.srcml.xml_identifiers'},Java
next Giphy Search Offset,NM NM NM N,NM N N N,DT NM NM N,P N V N,{'Telegram.srcml.xml_identifiers'},Java
num Outs,NM NPL,N N,NM N,N NPL,{'openFrameworks.srcml.xml_identifiers'},Java
on Item Long Click Listener,P NM NM NM N,P N NM N N,NM NM NM NM N,P N N V N,{'Telegram.srcml.xml_identifiers'},Java
ongoing Call Notification,NM NM N,NM N N,NM NM N,NM N N,{'Telegram.srcml.xml_identifiers'},Java
OP CODE CONTINUATION,NM NM N,N N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
original Mocking Details,NM NM NPL,NM NM N,NM NM N,NM N N,{'mockito.srcml.xml_identifiers'},Java
other Data Len Bits,NM NM NM NPL,NM N N N,DT NM NM N,NM N N N,{'Telegram.srcml.xml_identifiers'},Java
PARENT,N,N,N,N,{'jenkins.srcml.xml_identifiers'},Java
parser Errors,NM NPL,N N,NM N,N NPL,{'junit4.srcml.xml_identifiers'},Java
PREF FONT,NM N,N N,NM N,N N,{'corenlp.srcml.xml_identifiers'},Java
prev Property,NM N,N N,NM N,V N,{'antlr4.srcml.xml_identifiers'},Java
previous Caption,NM N,NM N,NM N,NM N,{'Telegram.srcml.xml_identifiers'},Java
print Features Up to,V NPL VM P,V N P P,NM NM NM N,N V VM P,{'corenlp.srcml.xml_identifiers'},Java
raw Arguments,NM NPL,NM N,NM N,NM NPL,{'mockito.srcml.xml_identifiers'},Java
reference Index Meta Datas,NM NM NM NPL,N N N N,NM NM NM N,V N N N,{'elasticsearch.srcml.xml_identifiers'},Java
REFRESH INTERVAL IN MILLIS,NM N P NPL,V N P N,NM NM NM N,N N P N,{'elasticsearch.srcml.xml_identifiers'},Java
returned Value,NM N,N N,NM N,NM N,{'mockito.srcml.xml_identifiers'},Java
RETURNS SELF,V N,N N,NM N,N N,{'mockito.srcml.xml_identifiers'},Java
rule Options,NM NPL,N N,NM N,N NPL,{'antlr4.srcml.xml_identifiers'},Java
RUN DIST CMD PROP,NM NM NM N,N N N N,NM NM NM N,N N N N,{'corenlp.srcml.xml_identifiers'},Java
runner Override,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
runtime Mx Bean,NM NM N,N N N,NM NM N,V N N,{'junit4.srcml.xml_identifiers'},Java
selected Account,NM N,NM N,NM N,NM N,{'Telegram.srcml.xml_identifiers'},Java
session Factory,NM N,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
skip Vetoes,NM NPL,V N,NM N,V N,{'jenkins.srcml.xml_identifiers'},Java
sort Field Data Type,NM NM NM N,N N N N,NM NM NM N,V N N N,{'elasticsearch.srcml.xml_identifiers'},Java
st lib,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},Java
state To Grammar Region Map,N P NM NM N,V P N N N,NM NM NM NM N,N P N N N,{'antlr4.srcml.xml_identifiers'},Java
statement,N,N,N,N,{'junit4.srcml.xml_identifiers'},Java
stubbing Lookup Listeners,NM NM NPL,N N N,NM NM N,NM N NPL,{'mockito.srcml.xml_identifiers'},Java
tcp Slave Agent Listener Lock,NM NM NM NM N,N N N N N,NM NM NM NM N,V N N N N,{'jenkins.srcml.xml_identifiers'},Java
total Merge Throttled Time,NM NM NM N,NM N N N,NM NM NM N,NM N N N,{'elasticsearch.srcml.xml_identifiers'},Java
TYPE TEST RULE,NM NM N,N N N,NM NM N,N N N,{'junit4.srcml.xml_identifiers'},Java
TYPE WINDOW UPDATE,N NM NM,N N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
UNKNOWN USERNAME,NM N,NM N,NM N,N N,{'jenkins.srcml.xml_identifiers'},Java
UNRESTRICTED,NM,NM,N,N,{'jenkins.srcml.xml_identifiers'},Java
validator Strategies,NM NPL,N N,NM N,N NPL,{'junit4.srcml.xml_identifiers'},Java
verification Strategy,NM N,N N,NM N,N N,{'mockito.srcml.xml_identifiers'},Java
weak Ref Lost,NM NM N,NM N N,NM NM N,NM N N,{'jenkins.srcml.xml_identifiers'},Java
Abstract Build Execution,NM NM N,NM N N,NM NM N,NM NM N,{'jenkins.srcml.xml_identifiers'},Java
Action Translator,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},Java
Alt And Context Config Equality Comparator,N CJ NM NM NM N,N N N N N N,NM NM NM NM NM N,N CJ N N N N,{'antlr4.srcml.xml_identifiers'},Java
Android Byte Buddy Mock Maker,NM NM NM NM N,N N N NM N,NM NM NM NM N,N N N N N,{'mockito.srcml.xml_identifiers'},Java
Arabic Segmenter,NM N,NM N,NM N,NM N,{'corenlp.srcml.xml_identifiers'},Java
Base Loader Callback,NM NM N,NM N N,NM NM N,N N N,{'opencv.srcml.xml_identifiers'},Java
Basic Replication Request,NM NM N,NM N N,NM NM N,NM N N,{'elasticsearch.srcml.xml_identifiers'},Java
Binary Rule,NM N,NM N,NM N,NM N,{'corenlp.srcml.xml_identifiers'},Java
Bucket Collector,NM N,N N,NM N,N N,{'elasticsearch.srcml.xml_identifiers'},Java
Build Wrapper,NM N,N N,NM N,V N,{'jenkins.srcml.xml_identifiers'},Java
Cache Strategy,NM N,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
Cached Region Tracker,NM NM N,N N N,NM NM N,N N N,{'Telegram.srcml.xml_identifiers'},Java
Category Filter Factory,NM NM N,N N N,NM NM N,N N N,{'junit4.srcml.xml_identifiers'},Java
Cbor X Content,NM NM N,N NM N,NM NM N,N N N,{'elasticsearch.srcml.xml_identifiers'},Java
Chapter Toc Frame,NM NM N,N N N,NM NM N,N N N,{'Telegram.srcml.xml_identifiers'},Java
Chinese Treebank Parser Params,NM NM NM NPL,NM N N N,NM NM NM N,N N N N,{'corenlp.srcml.xml_identifiers'},Java
Cipher Suite,NM N,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
Class Loaders,NM NPL,N N,NM N,N N,{'mockito.srcml.xml_identifiers'},Java
Cluster Update Settings Response,NM NM NM N,N N N N,NM NM NM N,N N N N,{'elasticsearch.srcml.xml_identifiers'},Java
Configure Timeouts,NM NPL,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
Content Path,NM N,NM N,NM N,N N,{'elasticsearch.srcml.xml_identifiers'},Java
Context Token List Indexed Getter Decl,NM NM NM NM NM N,N NM N N N N,NM NM NM NM NM N,N NM N NM N N,{'antlr4.srcml.xml_identifiers'},Java
CRF Non Linear Log Conditional Objective Function,NM NM NM NM NM NM N,POSSEFAILURE,NM NM NM NM NM NM N,N N N N N N N,{'corenlp.srcml.xml_identifiers'},Java
Default Injection Engine,NM NM N,N N N,NM NM N,N N N,{'mockito.srcml.xml_identifiers'},Java
Default Mocking Details,NM NM NPL,N NM N,NM NM N,N N N,{'mockito.srcml.xml_identifiers'},Java
Disk Lru Cache,NM NM N,N N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
DOT Generator,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},Java
Dvb Subtitle Reader,NM NM N,N N N,NM NM N,N N N,{'Telegram.srcml.xml_identifiers'},Java
Env Vars Slave Info Display Name,NM NM NM NM NM N,N N N N N N,NM NM NM NM NM N,N N N N V N,{'jenkins.srcml.xml_identifiers'},Java
Executor,N,N,N,N,{'jenkins.srcml.xml_identifiers'},Java
Expected Exception,NM N,NM N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
File Operator,NM N,N N,NM N,V N,{'okhttp.srcml.xml_identifiers'},Java
File Path Filter,NM NM N,N N N,NM NM N,V N N,{'jenkins.srcml.xml_identifiers'},Java
Formatted Text,NM N,N N,NM N,NM V,{'mockito.srcml.xml_identifiers'},Java
Generic Type Extractor,NM NM N,NM N N,NM NM N,NM N N,{'mockito.srcml.xml_identifiers'},Java
Get Home Directory,V NM N,N NM N,NM NM N,V N N,{'jenkins.srcml.xml_identifiers'},Java
Get Total Disk Space,V NM NM N,N NM N N,NM NM NM N,V NM N N,{'jenkins.srcml.xml_identifiers'},Java
Group By Context,N P N,V P N,NM NM N,N P N,{'elasticsearch.srcml.xml_identifiers'},Java
H pack,NM N,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
Handshake Mode,NM N,N N,NM N,N N,{'elasticsearch.srcml.xml_identifiers'},Java
Http1 Exchange Codec,NM NM N,N N N,NM NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
Icy Decoder,NM N,NM N,NM N,N N,{'Telegram.srcml.xml_identifiers'},Java
Install Uncaught Exception Handler,V NM NM N,N N N N,NM NM NM N,N N N N,{'jenkins.srcml.xml_identifiers'},Java
Internal,NM,NM,N,N,{'okhttp.srcml.xml_identifiers'},Java
JFlex Dummy Lexer,PRE NM N,N NM N,NM NM N,N N N,{'corenlp.srcml.xml_identifiers'},Java
Key Status,NM N,NM N,NM N,N N,{'Telegram.srcml.xml_identifiers'},Java
Lease,N,N,N,N,{'jenkins.srcml.xml_identifiers'},Java
Left Recursive Rule Function,NM NM NM N,NM NM N N,NM NM NM N,NM NM N N,{'antlr4.srcml.xml_identifiers'},Java
Local Ref,NM N,NM N,NM N,N N,{'antlr4.srcml.xml_identifiers'},Java
Maps,NPL,N,N,NPL,{'corenlp.srcml.xml_identifiers'},Java
Max Core,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
Media Chunk Iterator,NM NM N,N N N,NM NM N,N N N,{'Telegram.srcml.xml_identifiers'},Java
Mention Detection Evaluator,NM NM N,N N N,NM NM N,N N N,{'corenlp.srcml.xml_identifiers'},Java
MINIMUM SUPPORTED VERSION,NM NM N,NM NM N,NM NM N,N N N,{'jenkins.srcml.xml_identifiers'},Java
Mock Creation Validator,NM NM N,NM N N,NM NM N,N N N,{'mockito.srcml.xml_identifiers'},Java
Mockito Assertion Error,PRE NM N,N N N,NM NM N,N N N,{'mockito.srcml.xml_identifiers'},Java
Module Handler,NM N,N N,NM N,N N,{'mockito.srcml.xml_identifiers'},Java
Mp4 Extractor,NM N,N N,NM NM N,N N,{'Telegram.srcml.xml_identifiers'},Java
MP4 Input,NM N,N N,NM NM N,N N,{'Telegram.srcml.xml_identifiers'},Java
Mpeg Audio Reader,NM NM N,N N N,NM NM N,N N N,{'Telegram.srcml.xml_identifiers'},Java
Multiple Failure Exception,NM NM N,NM N N,NM NM N,NM N N,{'junit4.srcml.xml_identifiers'},Java
MultiPolygon,N,N,N,N,{'elasticsearch.srcml.xml_identifiers'},Java
OAuth Session,NM N,N N,NM NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
OAuth Session Factory,NM NM N,N N N,NM NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
OF Android Life Cycle Helper,PRE NM NM NM N,P N N N N,NM NM NM NM N,P N N N N,{'openFrameworks.srcml.xml_identifiers'},Java
OF Android Object,PRE NM N,P N N,NM NM N,P N N,{'openFrameworks.srcml.xml_identifiers'},Java
OF Android Sound Player,PRE NM NM N,P N NM N,NM NM NM N,P N N N,{'openFrameworks.srcml.xml_identifiers'},Java
OF Android Window,PRE NM N,P N N,NM NM N,P N N,{'openFrameworks.srcml.xml_identifiers'},Java
OF Orientation Listener,PRE NM N,P N N,NM NM N,P N N,{'openFrameworks.srcml.xml_identifiers'},Java
Parallel Computer,NM N,NM N,NM N,NM N,{'junit4.srcml.xml_identifiers'},Java
Parameter Signature,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
Patterns Annotations,NM NPL,N N,NM N,N NPL,{'corenlp.srcml.xml_identifiers'},Java
Post File,NM N,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
Post Script Document,NM NM N,N N N,NM NM N,N N N,{'antlr4.srcml.xml_identifiers'},Java
Print Events,NM NPL,N N,NM N,V NPL,{'okhttp.srcml.xml_identifiers'},Java
Publish Response,NM N,N N,NM N,V N,{'elasticsearch.srcml.xml_identifiers'},Java
Remoting Diagnostics,NM NPL,N N,NM N,N NPL,{'jenkins.srcml.xml_identifiers'},Java
Resolved Failed Exception,NM NM N,NM N N,NM NM N,NM NM N,{'jenkins.srcml.xml_identifiers'},Java
Response Handlers,NM NPL,N N,NM N,N NPL,{'elasticsearch.srcml.xml_identifiers'},Java
Returns Empty Values,V NM NPL,N NM N,NM NM N,V NM NPL,{'mockito.srcml.xml_identifiers'},Java
Rule Member Validator,NM NM N,N N N,NM NM N,N N N,{'junit4.srcml.xml_identifiers'},Java
Rule Property Ref ctx,NM NM NM N,N N N N,NM NM NM N,N N N N,{'antlr4.srcml.xml_identifiers'},Java
Rule Property Ref start,NM NM NM N,N N N N,NM NM NM N,N N N N,{'antlr4.srcml.xml_identifiers'},Java
Run After Params,V NM NPL,V P N,NM NM N,N P N,{'junit4.srcml.xml_identifiers'},Java
Run Before Params,V NM NPL,V P N,NM NM N,N P N,{'junit4.srcml.xml_identifiers'},Java
Runner Scheduler,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
Scroll Id For Node,NM N P N,V N P N,NM NM NM N,N N P N,{'elasticsearch.srcml.xml_identifiers'},Java
Segmenter Core Annotations,NM NM NPL,N N N,NM NM N,N N NPL,{'corenlp.srcml.xml_identifiers'},Java
Sei Reader,NM N,N N,NM N,N N,{'Telegram.srcml.xml_identifiers'},Java
Serialized Form,NM N,N N,NM N,NM N,{'junit4.srcml.xml_identifiers'},Java
Shift Reduce Train Options,NM NM NM NPL,N N N N,NM NM NM N,N N N NPL,{'corenlp.srcml.xml_identifiers'},Java
Single Period Timeline,NM NM N,NM N N,NM NM N,NM N N,{'Telegram.srcml.xml_identifiers'},Java
SINH,N,N,N,N,{'elasticsearch.srcml.xml_identifiers'},Java
Slack Client,NM N,NM N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
Store,N,N,N,N,{'elasticsearch.srcml.xml_identifiers'},Java
Strictness Selector,NM N,N N,NM N,N N,{'mockito.srcml.xml_identifiers'},Java
Stubbing Comparator,NM N,N N,NM N,NM N,{'mockito.srcml.xml_identifiers'},Java
SU Time,NM N,N N,NM N,N N,{'corenlp.srcml.xml_identifiers'},Java
Suite Method,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
Suite Method Builder,NM NM N,N N N,NM NM N,N N N,{'junit4.srcml.xml_identifiers'},Java
Task Impl,NM N,N N,NM N,N N,{'jenkins.srcml.xml_identifiers'},Java
Temporary Folder,NM N,NM N,NM N,NM N,{'junit4.srcml.xml_identifiers'},Java
Text Paint View,NM NM N,N N N,NM NM N,V N N,{'Telegram.srcml.xml_identifiers'},Java
Time Signal Command,NM NM N,N NM N,NM NM N,N N N,{'Telegram.srcml.xml_identifiers'},Java
Token Property Ref,NM NM N,NM N N,NM NM N,N N N,{'antlr4.srcml.xml_identifiers'},Java
Token Property Ref channel,NM NM NM N,NM N N N,NM NM NM N,N N N N,{'antlr4.srcml.xml_identifiers'},Java
Token Type Decl,NM NM N,NM N N,NM NM N,NM N N,{'antlr4.srcml.xml_identifiers'},Java
Top NGram Record,NM NM N,NM N N,NM NM NM N,N N N,{'corenlp.srcml.xml_identifiers'},Java
Transport Shard Refresh Action,NM NM NM N,N N N N,NM NM NM N,N N N N,{'elasticsearch.srcml.xml_identifiers'},Java
Tree Post Script Generator,NM NM NM N,N N N N,NM NM NM N,N N N N,{'antlr4.srcml.xml_identifiers'},Java
Tsurgeon Parse Exception,NM NM N,N N N,NM NM N,N N N,{'corenlp.srcml.xml_identifiers'},Java
Value Label,NM N,N N,NM N,N N,{'corenlp.srcml.xml_identifiers'},Java
Verification Mode Factory,NM NM N,N N N,NM NM N,N N N,{'mockito.srcml.xml_identifiers'},Java
Web Socket Listener,NM NM N,N N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
Workspace File Mask,NM NM N,N N N,NM NM N,N N N,{'jenkins.srcml.xml_identifiers'},Java
